# Conexiones entre sucursales
S012,S004,76.8,52.5
S004,S028,89.3,70.6
S028,S003,22.1,61.0
S003,S001,49.7,230.0
S001,S015,44.2,219.9
S015,S026,71.6,303.2
S026,S002,107.7,251.7
S002,S013,40.5,215.5
S013,S023,57.7,83.0
S023,S008,84.2,174.0
S008,S024,58.2,352.3
S024,S021,20.7,278.7
S021,S011,82.8,71.2
S011,S027,91.5,330.2
S027,S010,26.5,117.1
S010,S019,71.3,99.1
S019,S030,34.3,211.9
S030,S007,106.8,76.4
S007,S014,99.8,349.6
S014,S020,25.3,278.3
S020,S017,71.8,55.2
S017,S009,24.8,313.7
S009,S006,39.8,192.2
S006,S018,65.5,352.6
S018,S016,109.8,107.6
S016,S022,15.2,186.6
S022,S029,112.3,324.8
S029,S005,45.0,293.8
S005,S025,91.7,324.2
S010,S001,34.9,126.2
S004,S007,92.3,71.3
S008,S004,20.3,216.9
S025,S029,70.8,69.9
S019,S028,104.4,74.0
S028,S017,105.5,191.3
S005,S007,40.9,258.1
S014,S028,59.0,254.3
S019,S008,113.1,121.5
S009,S008,40.1,188.5
S023,S027,48.2,313.2
S028,S012,63.1,399.5
S030,S026,68.1,96.4
S024,S005,22.2,135.5
S023,S015,61.0,240.1
S023,S014,118.3,332.5
S019,S012,85.1,244.1
